Month	Domain	Visits
6/2022	tuoitre.vn	53960000
6/2022	vietnamnet.vn	53050000
6/2022	vnexpress.net	201000000
6/2022	znews.vn	94980000
5/2022	24h.com.vn	79120000
5/2022	2sao.vn	
5/2022	afamily.vn	
5/2022	dantri.com.vn	
5/2022	eva.vn	9952000
5/2022	giadinh.suckhoedoisong.vn	
5/2022	kenh14.vn	62730000
5/2022	ngoisao.net	10090000
5/2022	ngoisao.vn	
5/2022	phunutoday.vn	
5/2022	saostar.vn	
5/2022	thanhnien.vn	50770000
5/2022	tuoitre.vn	57040000
5/2022	vietnamnet.vn	41420000
5/2022	vnexpress.net	143300000
5/2022	znews.vn	67950000
4/2022	24h.com.vn	72170000
4/2022	2sao.vn	
4/2022	afamily.vn	
4/2022	dantri.com.vn	
4/2022	eva.vn	10140000
4/2022	giadinh.suckhoedoisong.vn	
4/2022	kenh14.vn	65100000
4/2022	ngoisao.net	9630000
4/2022	ngoisao.vn	
4/2022	phunutoday.vn	
4/2022	saostar.vn	
4/2022	thanhnien.vn	45860000
4/2022	tuoitre.vn	54550000
4/2022	vietnamnet.vn	40330000
4/2022	vnexpress.net	137900000
4/2022	znews.vn	62960000
3/2022	24h.com.vn	80610000
3/2022	2sao.vn	
3/2022	afamily.vn	
3/2022	dantri.com.vn	
3/2022	eva.vn	11370000
3/2022	giadinh.suckhoedoisong.vn	
3/2022	kenh14.vn	70300000
3/2022	ngoisao.net	10434000
3/2022	ngoisao.vn	
3/2022	phunutoday.vn	
3/2022	saostar.vn	
3/2022	thanhnien.vn	48100000
3/2022	tuoitre.vn	61500000
3/2022	vietnamnet.vn	50180000
3/2022	vnexpress.net	148200000
3/2022	znews.vn	69200000
2/2022	24h.com.vn	71620000
2/2022	2sao.vn	
2/2022	afamily.vn	
2/2022	dantri.com.vn	
2/2022	eva.vn	10590000
2/2022	giadinh.suckhoedoisong.vn	
2/2022	kenh14.vn	65840000
2/2022	ngoisao.net	9738000
2/2022	ngoisao.vn	
2/2022	phunutoday.vn	
2/2022	saostar.vn	
2/2022	thanhnien.vn	44260000
2/2022	tuoitre.vn	53760000
2/2022	vietnamnet.vn	41130000
2/2022	vnexpress.net	129600000
2/2022	znews.vn	64480000
1/2022	24h.com.vn	74400000
1/2022	2sao.vn	
1/2022	afamily.vn	
1/2022	dantri.com.vn	
1/2022	eva.vn	11400000
1/2022	giadinh.suckhoedoisong.vn	
1/2022	kenh14.vn	74700000
1/2022	ngoisao.net	10700000
1/2022	ngoisao.vn	
1/2022	phunutoday.vn	
1/2022	saostar.vn	
1/2022	thanhnien.vn	44300000
1/2022	tuoitre.vn	56900000
1/2022	vietnamnet.vn	40490000
1/2022	vnexpress.net	135500000
1/2022	znews.vn	65600000
12/2021	24h.com.vn	81600000
12/2021	2sao.vn	
12/2021	afamily.vn	
12/2021	dantri.com.vn	
12/2021	eva.vn	12300000
12/2021	giadinh.suckhoedoisong.vn	
12/2021	kenh14.vn	76200000
12/2021	ngoisao.net	10900000
12/2021	ngoisao.vn	
12/2021	phunutoday.vn	
12/2021	saostar.vn	
12/2021	thanhnien.vn	50200000
12/2021	tuoitre.vn	61400000
12/2021	vietnamnet.vn	41600000
12/2021	vnexpress.net	142200000
12/2021	znews.vn	67100000
11/2021	24h.com.vn	77500000
11/2021	2sao.vn	
11/2021	afamily.vn	
11/2021	dantri.com.vn	
11/2021	eva.vn	12400000
11/2021	giadinh.suckhoedoisong.vn	
11/2021	kenh14.vn	72700000
11/2021	ngoisao.net	10300000
11/2021	ngoisao.vn	
11/2021	phunutoday.vn	
11/2021	saostar.vn	
11/2021	thanhnien.vn	48600000
11/2021	tuoitre.vn	59300000
11/2021	vietnamnet.vn	40520000
11/2021	vnexpress.net	130000000
11/2021	znews.vn	65300000
10/2021	24h.com.vn	73770000
10/2021	2sao.vn	
10/2021	afamily.vn	
10/2021	dantri.com.vn	
10/2021	eva.vn	11400000
10/2021	giadinh.suckhoedoisong.vn	
10/2021	kenh14.vn	73390000
10/2021	ngoisao.net	9500000
10/2021	ngoisao.vn	
10/2021	phunutoday.vn	
10/2021	saostar.vn	
10/2021	thanhnien.vn	53420000
10/2021	tuoitre.vn	65900000
10/2021	vietnamnet.vn	41920000
10/2021	vnexpress.net	127500000
10/2021	znews.vn	66030000
9/2021	24h.com.vn	81800000
9/2021	2sao.vn	
9/2021	afamily.vn	
9/2021	dantri.com.vn	
9/2021	eva.vn	12100000
9/2021	giadinh.suckhoedoisong.vn	
9/2021	kenh14.vn	82900000
9/2021	ngoisao.net	9000000
9/2021	ngoisao.vn	
9/2021	phunutoday.vn	
9/2021	saostar.vn	
9/2021	thanhnien.vn	69700000
9/2021	tuoitre.vn	87000000
9/2021	vietnamnet.vn	48600000
9/2021	vnexpress.net	146500000
9/2021	znews.vn	78300000
8/2021	24h.com.vn	87500000
8/2021	2sao.vn	
8/2021	afamily.vn	
8/2021	dantri.com.vn	
8/2021	eva.vn	14600000
8/2021	giadinh.suckhoedoisong.vn	
8/2021	kenh14.vn	91500000
8/2021	ngoisao.net	9570000
8/2021	ngoisao.vn	
8/2021	phunutoday.vn	
8/2021	saostar.vn	
8/2021	thanhnien.vn	74600000
8/2021	tuoitre.vn	99000000
8/2021	vietnamnet.vn	53400000
8/2021	vnexpress.net	166500000
8/2021	znews.vn	88800000
7/2021	24h.com.vn	90000000
7/2021	2sao.vn	
7/2021	afamily.vn	
7/2021	dantri.com.vn	
7/2021	eva.vn	14500000
7/2021	giadinh.suckhoedoisong.vn	
7/2021	kenh14.vn	94900000
7/2021	ngoisao.net	11500000
7/2021	ngoisao.vn	
7/2021	phunutoday.vn	
7/2021	saostar.vn	
7/2021	thanhnien.vn	78000000
7/2021	tuoitre.vn	96500000
7/2021	vietnamnet.vn	59700000
7/2021	vnexpress.net	165500000
7/2021	znews.vn	86700000
6/2021	24h.com.vn	92100000
6/2021	2sao.vn	
6/2021	afamily.vn	
6/2021	dantri.com.vn	
6/2021	eva.vn	15900000
6/2021	giadinh.suckhoedoisong.vn	
6/2021	kenh14.vn	91800000
6/2021	ngoisao.net	12500000
6/2021	ngoisao.vn	
6/2021	phunutoday.vn	
6/2021	saostar.vn	
6/2021	thanhnien.vn	72700000
6/2021	tuoitre.vn	84400000
6/2021	vietnamnet.vn	57200000
6/2021	vnexpress.net	141500000
6/2021	znews.vn	80800000
5/2021	24h.com.vn	81100000
5/2021	2sao.vn	
5/2021	afamily.vn	
5/2021	dantri.com.vn	
5/2021	eva.vn	15400000
5/2021	giadinh.suckhoedoisong.vn	
5/2021	kenh14.vn	87100000
5/2021	ngoisao.net	13100000
5/2021	ngoisao.vn	
5/2021	phunutoday.vn	
5/2021	saostar.vn	
5/2021	thanhnien.vn	63300000
5/2021	tuoitre.vn	79600000
5/2021	vietnamnet.vn	52900000
5/2021	vnexpress.net	133500000
5/2021	znews.vn	74700000
4/2021	24h.com.vn	73500000
4/2021	2sao.vn	
4/2021	afamily.vn	
4/2021	dantri.com.vn	
4/2021	eva.vn	
4/2021	giadinh.suckhoedoisong.vn	
4/2021	kenh14.vn	75600000
4/2021	ngoisao.net	
4/2021	ngoisao.vn	
4/2021	phunutoday.vn	
4/2021	saostar.vn	
4/2021	thanhnien.vn	47400000
4/2021	tuoitre.vn	53900000
4/2021	vietnamnet.vn	41600000
4/2021	vnexpress.net	102000000
4/2021	znews.vn	59300000
